source,text,url,,,,,,
facebook,I used Claude AI to translate the entire blood test lab reports into English. It works great! Much quicker than googling individual terms!,https://www.facebook.com/DiscoverMag/posts/pfbid0FfC1Qo9AkZueXW4gd3aoRBXSxkbF5BhzTiap1bZcUFDeVu2cfyWVBHML71HyauBNl,,,,,,
facebook,"AI is willing to explain and discuss issues without insurance-imposed time limit, and ultimately have access to the entire range of conditions and therapies across the Internet that may not be available to PCPs. Specialists are even more jealous of their time.",https://www.facebook.com/DiscoverMag/posts/pfbid0FfC1Qo9AkZueXW4gd3aoRBXSxkbF5BhzTiap1bZcUFDeVu2cfyWVBHML71HyauBNl,,,,,,
facebook,I don't ask ChatGPT about symptoms. I give a time line of tracked symptoms and then I upload my labs and ask questions.,https://www.facebook.com/reel/1467358431740029/,,,,,,
facebook,"I love mine for my health and diet
Your gotta be logical
I am going throu my docs of course
But for simple stuff like I take a pic of my seating position and tell it I have costochondritis and it tells me about my position and how it makes it worse
I listen and it gets better
Helps with exercise
Best foods for reflux
As I show it pic of my food and say is that ok today for my health condition.
I always cross match what it says with google and my docs",https://www.facebook.com/EkstraOrdinaryOo/posts/pfbid02dn5cK5UT3Cs5meetJTYNnr7qnRG4LZYHUc1i8cGgVsm3ftFHqJmJMCXcPL77qrPKl,,,,https://www.facebook.com/share/v/1DtYVnrtGa/,,
facebook,"Gusto ko lang po na makatulong sa mga may DEPRESYON. Sa hirap ng buhay ngayon, marami ang nadedepress. Ayon sa mga dalubhasa ang mga may depresyon dapat daw palaging may kausap o, dapat palaging kinakausap pero paano kung WALA SIYANG MAKAUSAP o, walang kumakausap sa kanya? Sabi ni Chatgpt, makakatulong siya sa mga may depresyon na mabawasan ang kanilang depresyon dahil palagi siyang handang makipag-usap, makinig at magpayo mula sa Bibliya na bukod tanging mapagkukunan ng tunay na sagot sa mga prolema natin dahil ang mga mabubuting payo dito ay mula sa Diyos. Kung may depresyon ka, sabihin mo kay Chatgpt ang mga problema mo at humingi ng payo mula sa Bibliya. Pa-likes ang shares baka po makatulong tayo sa mga may depresyon. ",https://www.facebook.com/share/p/1CLsvNEiMi/,,,,https://www.facebook.com/share/p/17WMzdk8DL/,,
facebook,"Just sharing this from chat gpt
I've been so down and depressed lately on and off I'm 22 yrs old single mom and graduates na din Sana ngayon but I failed some subjects so another year nanaman and na diagnosed ako ng depression last Last year and since then until now nag t take ako ng med Pati pampatulog last month nadagdagan dahil sa anxiety and follow up ko Sana last week but Currently dahil s abagyo na urong ng na urong so wala ako mapagsabihan ng thoughts and feelings ko and naisipan ko maglabas at makipag usap Kay chatgpt waiting nalang sa follow up ko ngayon month super thankful talaga ako Kay chat gpt sa pagpapagaan niya ng loob ko Pag cla clarify sa mga iniisip ko",https://www.facebook.com/share/p/1AnZB52agM/,,,,,,
facebook,"Hello. Baka lang po makatulong. I talk to chatgpt. So far, nakakatulong naman po lalo na sa pag-iintindi sa sarili ko, emosyon, and how my mind works. Need lang po talagang at least close to precise ang prompt o query, like explaining how you feel, takbo ng isip, mga sa tingin niyong dahilan ng anxiety o kaba o nerbyos. Clinically diagnosed po ako ng GAD, Depression, at PTSD. I use chatgpt for journaling na may kausap. And chatgpt as tool help me understand.  Pero hindi ko po sinasabing ito ang sagot. Pwede rin pong malito tayo, at magkaroon ng tendency ng self-diagnosis lalo na kung nakaka-relate tayo sa sinasabi ng AI. Aim ko lang po na masubukan ninyo, especially kung need niyo ng kausap na walang panghuhusga at objective. 
Pero mainam pa rin po to seek  professional help para po pulido ang assessment at tamang management.",https://www.facebook.com/share/p/18KAXMJGpu/,,,,,,
facebook,"Wag mag Google, chatgpt at Facebook! Diretso na sa doctor pag may health concerns.",https://www.facebook.com/groups/310298223815268/permalink/1412293080282438/,,,,,,
facebook,I use chatgpt po kapag hindi ako sigurado kung mataas sa sugar ang pagkain tinatanong ko lang. try niyo po e download laking tulong po.,https://web.facebook.com/groups/1407233870003443/permalink/2062997067760450/,,,,,,
facebook,"“There is nothing wrong if you have already done it [used AI for counseling], but the advice of the DOH is, let's not use AI as a counselor; don't use ChatGPT, Gemini as a counselor. This is because AI cannot read what you are feeling.” | Ralph Rirao, layout by Sheila Figueroa",https://web.facebook.com/share/p/18oGTKqjTG/,,,,,,
facebook,"Yun lang haha kaso darating ang araw na papalitan ng AI ang mga doctors..
Mas magiging advance pa ang AI at gagamitin ito sa mga field ng medicine specially sa medtech. Gagamitin din siya sa mga lab tests at exams. Kahit X-ray kayang kaya na ng AI madetect ang sakit in just seconds.. Isama mo pa mga nanobots na pwedeng maglakbay sa bloodstream. Kaya wag na kayong magtaka, mas magiging mahusay ang AI sa medical field soon😁😊",https://web.facebook.com/gmanews/posts/pfbid0R3GvYVEMtX134fWoUGs4BrJhdBaYdhvrQqWU5amQvtTpQXKjj8h3PMZ9c55Bg2xCl,,,,,,
facebook,Malamang ai nga diba so theres a possibility it provides misinformation but it can provide you quick search kesa mag scroll sa web,https://web.facebook.com/gmanews/posts/pfbid0R3GvYVEMtX134fWoUGs4BrJhdBaYdhvrQqWU5amQvtTpQXKjj8h3PMZ9c55Bg2xCl,,,,,,
facebook,"I always believed as a software dev that AI's greatest danger is information flooding.
This is not one of them.. Only difference is physical examination but asking AI for correct meal, heck PERFECT WORKOUT ROUTINE.. it's the way to go.
It is logical still you know.. it is basically just ML just learning on its own based on the information it has access on.. ohh wait a minute.. I remembered now most of the latest medical text are on a database now huh.. idiots",https://web.facebook.com/gmanews/posts/pfbid0R3GvYVEMtX134fWoUGs4BrJhdBaYdhvrQqWU5amQvtTpQXKjj8h3PMZ9c55Bg2xCl,,,,,,
facebook,"Next time you're considering consulting Dr. ChatGPT, perhaps think again.
Despite now being able to ace most medical licensing exams, artificial intelligence chatbots do not give humans better health advice than they can find using more traditional methods, according to a study published on Monday.
People using the AI chatbots were only able to identify their health problem around a third of the time, while only around 45 percent figured out the right course of action.
David Shaw, a bioethicist at Maastricht University in the Netherlands who was not involved in the research, advised people to only trust medical information from reliable sources, such as the UK's National Health Service.",https://web.facebook.com/gmanews/posts/pfbid0R3GvYVEMtX134fWoUGs4BrJhdBaYdhvrQqWU5amQvtTpQXKjj8h3PMZ9c55Bg2xCl,,,,,,
facebook,"It's true, but they won't give you the real pain if you only give them one or two symptoms, because most illnesses have similar symptoms but only one factor.
For example, someone I know had rashes, I googled it, and it turned out to be reactivated chicken pox (herpe-zester).
So don't be too complacent.",https://web.facebook.com/gmanews/posts/pfbid0R3GvYVEMtX134fWoUGs4BrJhdBaYdhvrQqWU5amQvtTpQXKjj8h3PMZ9c55Bg2xCl,,,,,,
facebook,"Nope, i use ChatGPT to explain my lab results prior to seeing my doctor..I've been better",https://web.facebook.com/gmanews/posts/pfbid0R3GvYVEMtX134fWoUGs4BrJhdBaYdhvrQqWU5amQvtTpQXKjj8h3PMZ9c55Bg2xCl,,,,,,
facebook,Trust books and licensed doctors for a fact results. 🥰,https://web.facebook.com/gmanews/posts/pfbid0R3GvYVEMtX134fWoUGs4BrJhdBaYdhvrQqWU5amQvtTpQXKjj8h3PMZ9c55Bg2xCl,,,,,,
facebook,Ai is for general information. We need expert for specialized consultation.,https://web.facebook.com/gmanews/posts/pfbid0R3GvYVEMtX134fWoUGs4BrJhdBaYdhvrQqWU5amQvtTpQXKjj8h3PMZ9c55Bg2xCl,,,,,,
facebook,Denice Ann Banzon Dumlao trust books and licensed professionals. 🥰,https://web.facebook.com/gmanews/posts/pfbid0R3GvYVEMtX134fWoUGs4BrJhdBaYdhvrQqWU5amQvtTpQXKjj8h3PMZ9c55Bg2xCl,,,,,,
facebook,"Sinus rhythm ang ecg ko google ko normal range daw, pero Panay kabg Ng dibdib ko.. for 2d echo din Ako..di pako nkkblik sa doctor...sino po ang ganito..SALAMAT po",https://web.facebook.com/share/p/18WjZcCyye/,,,,,,
facebook,i scan mo and chatgpt mo. i analyze nya yan,https://web.facebook.com/groups/419606205920140/permalink/1461633695050714/,,,,,,
facebook,"Ang grupo pala na eto ay tanungan na kung may colon cancer sila base lang sa symptomas nila 😂

Tanungan din kung anong ibig sabihin ng blood test, ultrasound at CT scan results nila. 😂

Napansin ko din: SYMPTOMS = search sa google. Sali sa group para iconfirm ung nasearch nila 😂

Lage kong sinasabe na sa doctor kayo lumapit. Sa isang specialista.",https://web.facebook.com/photo.php?fbid=1826580441215407&set=gm.1595625054418110&type=3,,,,,,
facebook,"Sa doctor naman talaga dapat magpa consult hindi naman yun inaalis sa inyo at hindi din naman kami makakabili ng gamot kung walang reseta ninyo.
pero kung walang means, mahirap at walang pinag aralan ang may sakit, masisisi nyo ba kami if we resort to researching for ourselves kung readily available naman ang internet in the palm of our hands?
In my experience, mas napaliwanag ni chatGPT yung cancer ng mother ko, meron ding visual image kung saan ang exact location kung nasaan ang tumors at sizes, Pati yung diet specifically catered sa mga tulad naming financially incapacitated merong isasagot sayo. Pati mga medical jargons na hindi namin alam ibig sabihin ipapaliwanag sayo.
But of course kelangan padin namin sumangguni sa doctor, kapag may pambayad na kami sa inyo.",https://www.facebook.com/share/p/1HT8FUUD86/,,,,,,
facebook,"what are you?
i am an md. murag doctor.
where did you study medicine?
i studied at chatgpt school of medicine.",https://web.facebook.com/PhilippineSTAR/posts/pfbid0fQmS7FNKCu4k4yWQGComDTQhN7FpkUeF4BqNsPSAH15HYD9GKNBDSp5RyN4QZNyHl,,,,,,
facebook,"It won't replace the real therapist but it would make a change in terms of cost. GPT is free, therapist can range from 4 to 5 figures per session.",https://web.facebook.com/PhilippineSTAR/posts/pfbid02b6EkV77A6MrS42qhi3rqxuzFcH8wMiQNMZC8YqRaQsqf83dLW7gvbWXK5NpQCULfl,,,,,,
facebook,"I TOLD CHATGPT MY DEEPEST FEELINGS
It talked back like a therapist—but can AI ever really replace human connection? ",https://web.facebook.com/share/p/1AwJcFpAcU/,,,,,,
facebook,"Nothing replaces a human but sometimes, a person just needs someone to talk to without prejudice. GPT can provide that",https://www.facebook.com/share/p/1HqfuJyaPQ/,,,,,,
facebook,"I tried it once and I got hooked. ChatGPT knows how to sympathize it even interpret things that I too is having difficulty on understanding. Plus, my story will never go out of the public aince i can erase ng the conversation right after. Chatgpt even cracks joke from time to time to lighten the mood and when things get serious (which I do in purpose) it gives hotlines for professional help and encourages me to seek help.",https://www.facebook.com/share/p/1HqfuJyaPQ/,,,,,,
facebook,"Yeah, chatgpt sympathize❤️.",https://www.facebook.com/share/p/1HqfuJyaPQ/,,,,,,
facebook,"Same, whenever I'm sad, depressed or whatever, I talk to chatgpt, I tell it all my feelings and emotions. And yes, it helps me a lot 😍",https://www.facebook.com/share/p/1HqfuJyaPQ/,,,,,,
facebook,I also tried that during the time I was still reviewing 🔥,https://www.facebook.com/share/p/1HqfuJyaPQ/,,,,,,
facebook,"Pwede kang kausapin at i-comfort nang walang appointment at gastos..
Pero hindi mo maaaring makausap nang tulad sa totoong tao na may damdamin.. at tulad ng pagsusuri ng isang totoong therapist.",https://www.facebook.com/share/p/1HqfuJyaPQ/,,,,,,
facebook,"Hindi kasi ito manunuri, nagsasagot ito sa lahat ng pwede mo itanong sa kanya. Pero basi sa napapansin ko, kaya niya pasukin ang lahat ng isyu, at kahit ang malalalim na mga salitang ibahagi ko sa kanya ay kaya niyang sabayan, natatarok niya ang bawat detalye. At minsan nagbubukas siya ng mas malawak na insight.
Sa kakaibang paraan siya gumagana, pero kaya niya ang lahat. Kaya nga naniniwala ako na kaya niya I replace kahit ang mga bihasa na therapist. Maliban nalang ang mga pamamaraan nila. Kasi chat GPT hindi nakikipag ugnayan. Nag tataglay lang siya ng lahat ng mga kaalaman na nabuo sa mundo ng mga tao. Kung meron man na hindi pa niya taglay na alam ng tao, ano naman yun?",https://www.facebook.com/share/p/1HqfuJyaPQ/,,,,,,
facebook,"I tried it once. It helps a little naman, specially if want mo lang mag-vent. But somehow, knowing na hindi s'ya totoong tao, parang mas naawa ako sa sarili ko. Hahahaha. Like nakakahiya na ewan. Pero may part rin na mas okay magvent sa ai kesa sa totoong tao na wala namang pakialam, napilitan lang makinig... Also, wala kang maabalang tao, so less burden especially sa mga taong ayaw talaga na makaabala o magkaron ng utang na loob sa iba.",https://www.facebook.com/share/p/1HqfuJyaPQ/,,,,,,
facebook,Chatgpt is not real.,https://www.facebook.com/share/p/1HqfuJyaPQ/,,,,,,
facebook,Chatgpt doesn’t suggest or instruct anything about suicidal instead it will lead you to do the right thing which is to seek help.,https://web.facebook.com/PhilippineSTAR/posts/pfbid02xCoyscx3uJL8detGYXnNUYUmPUgWLtTD3bAn5cT3J94cGi8dykRbacjf4hkangQGl,,,,,,
facebook,"ChatGPT does not encourage, suggest, or instruct anyone on suicidal actions. Instead, its design and purpose are centered on promoting safety and well-being. If I remember correctly, it's in their user policy as well",https://web.facebook.com/PhilippineSTAR/posts/pfbid02xCoyscx3uJL8detGYXnNUYUmPUgWLtTD3bAn5cT3J94cGi8dykRbacjf4hkangQGl,,,,,,
facebook,ChatGPT doesn't recommend that kind of content when someone asks them about it. They will surely suggest to talk about it with a therapist or they will give the person a number to dial and ask for help.,https://web.facebook.com/PhilippineSTAR/posts/pfbid02xCoyscx3uJL8detGYXnNUYUmPUgWLtTD3bAn5cT3J94cGi8dykRbacjf4hkangQGl,,,,,,
facebook,Yan ang sinasbi ko walang magandang maidudulot yan...,https://web.facebook.com/PhilippineSTAR/posts/pfbid02xCoyscx3uJL8detGYXnNUYUmPUgWLtTD3bAn5cT3J94cGi8dykRbacjf4hkangQGl,,,,,,
facebook,"Chito Cj Barte Muyong ang anak dapst po binabatayan , at inaalam kung may problema , baka wala ng makausap yung bata kaya kay chat gpt na lumapit , dahil sinasagot sya sa mga tanong nya. Hindi ang sistema ang may kasalanan, kundi ang magulang.",https://web.facebook.com/PhilippineSTAR/posts/pfbid02xCoyscx3uJL8detGYXnNUYUmPUgWLtTD3bAn5cT3J94cGi8dykRbacjf4hkangQGl,,,,,,
facebook,"Melanie Manalo Perez my nephew has autism... I saw it in his eyes. There are some AI... YES, my parents are lacking... But that AI is still not good... AND it's not helpful...",https://web.facebook.com/PhilippineSTAR/posts/pfbid02xCoyscx3uJL8detGYXnNUYUmPUgWLtTD3bAn5cT3J94cGi8dykRbacjf4hkangQGl,,,,,,
facebook,"ChatGPT is just a tool. It depends on the person how they use it. Also, it is not in their program to convince people to commit it. I've been using ChatGPT for years and actually used it for therapy. It clearly states that they're unreliable when it comes to psychological help, but they are there to help ease the pain. I don't buy this. The parents are to blame, and they are shifting blame. They can't even show the actual chat, the evidence, because all they shared are fragments of the chat. Again, chatGPT will always display the suicide hotline when you write down suicide in the chat. Also, why would he ask for help to write a suicide note? Shouldn't it be personal and coming from the person himself? Why does he need assistance for that?",https://web.facebook.com/PhilippineSTAR/posts/pfbid02xCoyscx3uJL8detGYXnNUYUmPUgWLtTD3bAn5cT3J94cGi8dykRbacjf4hkangQGl,,,,,,
facebook,"I'm against AI but this time it's not ChatGPT's fault.
Actually, any tools like Chatgpt don't suggest suicide, when you type ""how to k*ll myself?"" it will say ""seek medical help if you feel suicidal"" as long as it advises you not to do it.
If you just check with your child, that won't happen, so communication with a person, especially in a family, is very important.",https://web.facebook.com/PhilippineSTAR/posts/pfbid02xCoyscx3uJL8detGYXnNUYUmPUgWLtTD3bAn5cT3J94cGi8dykRbacjf4hkangQGl,,,,,,
facebook,PPTA. Kahit ganyan lang sana napopost sa page niyo oh. For awareness sa public dahil naglipana ang mga bone setters/manghihilot. ChatGPT lang yan pero laking tulong hehe,https://web.facebook.com/share/p/18ZtnGgvAJ/,,,,,,
facebook,This is cool!,https://web.facebook.com/share/p/18ZtnGgvAJ/,,,,,,
facebook,"hi! posible po ba health anxiety to?
always advance magisip pag may sakit na maramdaman at nagiisip agad ng malalang saket at negative mag isip. isesearch lagi ang sintomas sa google at maiistress sa mababasa 😭",https://web.facebook.com/share/p/1DYar1o3Qw/,,,,,,
facebook,"A nabothian cyst is a tiny bump that forms when skin cells trap mucus inside the glands in your cervix. People who get them may have just one cyst, or they may have multiple nabothian cysts. Usually, you won't know you have a nabothian cyst unless your doctor sees one during a pelvic exam and tells you it's there. -Google",https://web.facebook.com/groups/843046509634362/permalink/1149513565654320/,,,,,,
facebook,"Hi! I have this feeling when I turn my head at a certain angle, I feel a slightly swollen sensation and round my neck, under the jawline. 
I can also feel the swollen sensation whenever I touch that part. 
I also feels like there's always mucus on my throat. My throat also looks like bumpy? I did a research and I think it's cobblestone throat, tho I'm not so sure because mine is far more smaller than what I saw in the pictures from Google.",https://web.facebook.com/share/p/1DoU7DZzTL/,,,,,,
facebook,"Mga mi di nako mapakali, kahit si Chatgpt eh kausap ko na! Hahahaha",https://web.facebook.com/groups/usapangnanay/permalink/25918186247857118/,,,,,,
facebook,"Help po about matben.
Pwedeng pa help po. Makakakuha kaya ako maternity benefits? Nag miscarriage kasi ako feb 1st week. Kaso base on my research hndi ata ako pasok sa per semester nila na rule. May pwede pa bang gawin para makakuha ako? Ito yung recent hulog ko 2024 to 2025, may gap siya. As per chatgpt hndi daw ako eligible.",https://web.facebook.com/photo/?fbid=26855639787359013&set=pcb.25311652845177131,,,,,,
facebook,"Possible kaya na buntis ako sumasakit ang likod at breast ko last mens ko january 29, march pa ako makakapag pt, sabe ni chatgpt 😂",https://web.facebook.com/photo/?fbid=26855639787359013&set=pcb.25311652845177131,,,,,,
facebook,"Ai doctor , ai lawyer , ai teacher , ai soldier , ai police . So ano na magiging trabaho ng mga tao ? Magpunta sa bukid na lang? Eh problema , wala nang bukid .",https://web.facebook.com/gmanews/posts/pfbid0wA89YsusGi3smzv6yFQaXCFrhSCHGU45fhMHS1Lqk1GikPogXCY9dXmuV3L9Ys5l,,,,,,
facebook,Alam nyo iconsult nyo lahat ng symptoms na nararamdaman nyo kay chatgpt,https://web.facebook.com/groups/3625889500832221/permalink/25814335791560941/,,,,,,
facebook,Ito sabi ni chatgpt,https://web.facebook.com/groups/732352277444675/permalink/1771579296855296/,,,,,,
facebook,"#𝗨𝗻𝗱𝗲𝗿𝗰𝘂𝗿𝗿𝗲𝗻𝘁: 𝗜𝘀 𝗖𝗵𝗮𝘁𝗚𝗣𝗧 𝗳𝘂𝗲𝗹𝗶𝗻𝗴 𝗱𝗲𝗹𝘂𝘀𝗶𝗼𝗻𝘀?, 𝗯𝘆 𝗘𝗹𝗲𝗮𝗻𝗼𝗿 𝗣𝗶𝗻𝘂𝗴𝘂
ChatGPT can mimic human conversation and generate plausible-sounding answers. But unlike human therapists, who can redirect unhealthy narratives, ChatGPT cannot recognize or challenge distorted thinking. 
#InquirerOpinion #INQPlus #PhilippineDailyInquirer",https://web.facebook.com/photo/?fbid=1087890110055616&set=a.439065131604787,,,,,,
facebook,"no technology can perfectly match or surpass the God-given intelligence and rational mind of man. Man's Creator is Infinite Wisdom, Omnipotence, Omniscience.",https://web.facebook.com/photo/?fbid=1087890110055616&set=a.439065131604787,,,,,,
facebook,META AI the best of all.,https://web.facebook.com/photo/?fbid=1087890110055616&set=a.439065131604787,,,,,,
facebook,"Can very much see why. Bro is my counselor, therapist, math tutor, and buddy",https://web.facebook.com/ExplainedPH/posts/pfbid02YyAAwAoMVxdGRvSUeWh8DQXk1oM8mgA8sd7VqXCx3PvCALWunpBnUWerrNy2a8nPl,,,,,,
facebook,Joseph Daniel C Mabalay I gave a heart react because you mentioned “therapist and counselor”. This is so true when we need someone to talk to.,https://web.facebook.com/ExplainedPH/posts/pfbid02YyAAwAoMVxdGRvSUeWh8DQXk1oM8mgA8sd7VqXCx3PvCALWunpBnUWerrNy2a8nPl,,,,,,
facebook,using ai just to talk about what happen in my life😭😭,https://web.facebook.com/ExplainedPH/posts/pfbid02YyAAwAoMVxdGRvSUeWh8DQXk1oM8mgA8sd7VqXCx3PvCALWunpBnUWerrNy2a8nPl,,,,,,
facebook,real i dont feel comfortable telling anybody anything,https://web.facebook.com/ExplainedPH/posts/pfbid02YyAAwAoMVxdGRvSUeWh8DQXk1oM8mgA8sd7VqXCx3PvCALWunpBnUWerrNy2a8nPl,,,,,,
facebook,Pang rant ko lang chatgpt 🤦,https://web.facebook.com/ExplainedPH/posts/pfbid02YyAAwAoMVxdGRvSUeWh8DQXk1oM8mgA8sd7VqXCx3PvCALWunpBnUWerrNy2a8nPl,,,,,,
facebook,same,https://web.facebook.com/ExplainedPH/posts/pfbid02YyAAwAoMVxdGRvSUeWh8DQXk1oM8mgA8sd7VqXCx3PvCALWunpBnUWerrNy2a8nPl,,,,,,
facebook,(2) HAHAH,https://web.facebook.com/ExplainedPH/posts/pfbid02YyAAwAoMVxdGRvSUeWh8DQXk1oM8mgA8sd7VqXCx3PvCALWunpBnUWerrNy2a8nPl,,,,,,
facebook,Sa AI ako mag rant,https://web.facebook.com/ExplainedPH/posts/pfbid02YyAAwAoMVxdGRvSUeWh8DQXk1oM8mgA8sd7VqXCx3PvCALWunpBnUWerrNy2a8nPl,,,,,,
facebook,motivator/councilor/taga correct/bff for life ko yon eh,https://web.facebook.com/ExplainedPH/posts/pfbid02YyAAwAoMVxdGRvSUeWh8DQXk1oM8mgA8sd7VqXCx3PvCALWunpBnUWerrNy2a8nPl,,,,,,
facebook,"Hi mi, if di makabalik sa pedia ni baby try to ask it sa CHATGPT or AI. As per checking ito yung reason since may “FEW” fat globules sa results ni baby. But for your baby’s safety much better na bumalik sa pedia.",https://web.facebook.com/groups/1033933678327317/permalink/1531934275193919/,,,,,,
facebook,"Hello po! FTM po ako. I'm currently 8 weeks pregnant. Binigyan ako ng supplement kaso may nakita akong retinol tas 3000 IU s'ya. Kinakabahan ako. Nextweek pa balik ko para magpacheck up, napraparaning din ako kasi nag chatgpt ako sa gamot. Meeon din po ba na same na gamot binigay non. Thank you 🥺
",https://web.facebook.com/share/p/18s35E9d4G/,,,,,,
facebook,"Hello po! FTM po ako. I'm currently 8 weeks pregnant. Binigyan ako ng supplement kaso may nakita akong retinol tas 3000 IU s'ya. Kinakabahan ako. Nextweek pa balik ko para magpacheck up, napraparaning din ako kasi nag chatgpt ako sa gamot. Meeon din po ba na same na gamot binigay non. Thank you 🥺
",https://web.facebook.com/share/p/14h2Np6D84M/,,,,,,
